event,gender,time_distance,athlete,location,date,,,,,,,,,
Men's 4 x 100 m relay,M,41.0y,Chester Bowman; John Currie; James Pappas; Henry Cummings,"Lincoln, Nebraska, USA",1927-07-04,,,,,,,,,
Men's 4 x 100 m relay,M,41,Ernst Geerling; Friedrich-Wilhelm Wichmann; Adolf Metzner; Hans Salz,"Halle, Germany",1928-06-10,,,,,,,,,
Men's 4 x 100 m relay,M,41,Frank Wykoff; James Quinn; Charles Borah; Henry Russell,"Amsterdam, Netherlands",1928-08-05,,,,,,,,,
Men's 4 x 100 m relay,M,41,Arthur Jonath; Richard Corts; Hubert Houben; Helmut Körnig,"Berlin, Germany",1928-09-02,,,,,,,,,
Men's 4 x 100 m relay,M,40.8,Helmut Körnig; Wilhelm Grosser; Alex Natan; Hermann Schlöske,"Breslau, Germany",1929-07-22,,,,,,,,,
Men's 4 x 100 m relay,M,40.8y,Roy Delby; Milton Maurer; Maurice Guyer; Frank Wykoff,"Fresno, USA",1931-05-09,,,,,,,,,
Men's 4 x 100 m relay,M,40.6,Helmut Körnig; Georg Lammers; Erich Borchmeyer; Arthur Jonath,"Kassel, Germany",1932-06-14,,,,,,,,,
Men's 4 x 100 m relay,M,40,Bob Kiesel; Emmett Toppino; Hector Dyer; Frank Wykoff,"Los Angeles, USA",1932-08-07,,,,,,,,,
Men's 4 x 100 m relay,M,39.8,Jesse Owens; Ralph Metcalfe; Foy Draper; Frank Wykoff,"Berlin, Germany",1936-08-09,,,,,,,,,
Men's 4 x 100 m relay,M,39.5,Ira Murchison; Leamon King; Thane Baker; Bobby Morrow,"Melbourne, Australia",1956-12-01,,,,,,,,,
Men's 4 x 100 m relay,M,39.5,Manfred Steinbach; Martin Lauer; Heinz Fütterer; Manfred Germar,"Cologne, Germany",1958-08-29,,,,,,,,,
Men's 4 x 100 m relay,M,39.5,Bernd Cullmann; Armin Hary; Walter Mahlendorf; Martin Lauer,"Rome, Italy",1960-09-07,,,,,,,,,
Men's 4 x 100 m relay,M,39.5,Bernd Cullmann; Armin Hary; Walter Mahlendorf; Martin Lauer,"Rome, Italy",1960-09-08,,,,,,,,,
Men's 4 x 100 m relay,M,39.1,Hayes Jones; Frank Budd; Charles Frazier; Paul Drayton,"Moscow, USSR",1961-07-15,,,,,,,,,
Men's 4 x 100 m relay,M,39,Paul Drayton; Gerry Ashworth; Richard Stebbins; Bob Hayes,"Tokyo, Japan",1964-10-21,,,,,,,,,
Men's 4 x 100 m relay,M,38.6y,Earl McCullouch; Fred Kuller; O. J. Simpson; Lennox Miller (All USA except Miller),"Provo, USA",1967-06-17,,,,,,,,,
Men's 4 x 100 m relay,M,38.6,Errol Stewart; Michael Fray; Clifton Forbes; Lennox Miller,"Mexico City, Mexico",1968-10-19,,,,,,,,,
Men's 4 x 100 m relay,M,38.3,Errol Stewart; Michael Fray; Clifton Forbes; Lennox Miller,"Mexico City, Mexico",1968-10-19,,,,,,,,,
Men's 4 x 100 m relay,M,38.2,Charles Greene; Mel Pender; Ronnie Ray Smith; Jim Hines,"Mexico City, Mexico",1968-10-20,,,,,,,,,
Men's 4 x 100 m relay,M,38.19,Larry Black; Robert Taylor; Gerald Tinker; Eddie Hart,"Munich, Germany",1972-09-10,,,,,,,,,
Men's 4 x 100 m relay,M,38.03,Bill Collins; Steve Riddick; Cliff Wiley; Steve Williams,"Düsseldorf, Germany",1977-09-03,,,,,,,,,
Men's 4 x 100 m relay,M,37.86,"Emmit King, Willie Gault, Calvin Smith, Carl Lewis","Helsinki, Finland",1983-08-10,,,,,,,,,
Men's 4 x 100 m relay,M,37.83,Sam Graddy; Ron Brown; Calvin Smith; Carl Lewis,"Los Angeles, USA",1984-08-11,,,,,,,,,
Men's 4 x 100 m relay,M,37.79,Max Morinière; Daniel Sangouma; Jean-Charles Trouabal; Bruno Marie-Rose,"Split, Yugoslavia (now Croatia)",1990-09-01,,,,,,,,,
Men's 4 x 100 m relay,M,37.79,Michael Marsh; Leroy Burrell; Floyd Heard; Carl Lewis,"Monte Carlo, Monaco",1991-08-03,,,,,,,,,
Men's 4 x 100 m relay,M,37.67,Michael Marsh; Leroy Burrell; Dennis Mitchell; Carl Lewis,"Zürich, Switzerland",1991-08-07,,,,,,,,,
Men's 4 x 100 m relay,M,37.5,Andre Cason; Leroy Burrell; Dennis Mitchell; Carl Lewis,"Tokyo, Japan",1991-09-01,,,,,,,,,
Men's 4 x 100 m relay,M,37.4,Michael Marsh; Leroy Burrell; Dennis Mitchell; Carl Lewis,"Barcelona, Spain",1992-08-08,,,,,,,,,
Men's 4 x 100 m relay,M,37.4,Jon Drummond; Andre Cason; Dennis Mitchell; Leroy Burrell,"Stuttgart, Germany",1993-08-21,,,,,,,,,
Men's 4 x 100 m relay,M,37.1,Nesta Carter; Michael Frater; Usain Bolt; Asafa Powell,"Beijing, China",2008-08-22,,,,,,,,,
Men's 4 x 100 m relay,M,37.31,Steve Mullings; Michael Frater; Usain Bolt; Asafa Powell,"Berlin, Germany",2009-08-22,,,,,,,,,
Men's 4 x 100 m relay,M,37.04,Nesta Carter; Michael Frater; Yohan Blake; Usain Bolt,"Daegu, Korea",2011-09-04,,,,,,,,,
Men's 4 x 100 m relay,M,36.84,Nesta Carter; Michael Frater; Yohan Blake; Usain Bolt,"London, United Kingdom",2012-08-11,,,,,,,,,
Men's 4 x 400m relay,M,3:18.2y,"Harry Schaaf, Mel Sheppard,
Harry Gissing, James Rosenberger","New York City, USA",1911-09-04[1],,,,,,,,,
Men's 4 x 400m relay,M,3:16.6,"Mel Sheppard, Charles Reidpath,
Ted Meredith, Edward Lindberg","Stockholm, Sweden",1912-06-15[1],,,,,,,,,
Men's 4 x 400m relay,M,3:16.0,"Commodore Cochran, Alan Helffrich,
Oliver MacDonald, William Stevenson","Paris, France",1924-07-13[1],,,,,,,,,
Men's 4 x 400m relay,M,3:14.2,"George Baird,
Emerson Spencer, Fred Alderman, Ray Barbuti","Amsterdam, Netherlands",1928-08-05[1],,,,,,,,,
Men's 4 x 400m relay,M,3:13.4y,"George Baird, Morgan Taylor,
Ray Barbuti, Emerson Spencer","London, UK",1928-08-11[1],,,,,,,,,
Men's 4 x 400m relay,M,3:12.6y,"Maynor Shore, Alvin Hables,
Leslie Hables, Ben Eastman","Fresno, USA",1931-05-08[1],,,,,,,,,
Men's 4 x 400m relay,M,3:08.2,"Ivan Fuqua, Ed Ablowich,
Karl Warner, Bill Carr","Los Angeles, USA",1932-08-07[1],,,,,,,,,
Men's 4 x 400m relay,M,3:03.9,"Arthur Wint, Leslie Laing,
Herb McKenley, George Rhoden","Helsinki, Finland",1952-07-27[1],,,,,,,,,
Men's 4 x 400m relay,M,3:02.2,"Jack Yerman, Earl Young,
Glenn Davis, Otis Davis","Rome, Italy",1960-09-08[1],,,,,,,,,
Men's 4 x 400m relay,M,3:00.7,"Ollan Cassell, Mike Larrabee,
Ulis Williams, Henry Carr","Tokyo, Japan",1964-10-21[1],,,,,,,,,
Men's 4 x 400m relay,M,2:59.6,"Robert Frey, Lee Evans,
Tommie Smith, Theron Lewis","Los Angeles, USA",1966-07-24[1][3],,,,,,,,,
Men's 4 x 400m relay,M,2:56.2,"Vincent Matthews, Ron Freeman,
Larry James, Lee Evans","Mexico City, Mexico",1968-10-20[1],,,,,,,,,
Men's 4 x 400m relay,M,2:56.16,"Danny Everett, Steve Lewis,
Kevin Robinzine, Butch Reynolds","Seoul, South Korea",1988-10-01[1],,,,,,,,,
Men's 4 x 400m relay,M,2:55.74,"Andrew Valmon, Quincy Watts,
Michael Johnson, Steve Lewis","Barcelona, Spain",1992-08-08[1],,,,,,,,,
Men's 4 x 400m relay,M,2:54.29,"Andrew Valmon, Quincy Watts,
Butch Reynolds, Michael Johnson","Stuttgart, Germany",1993-08-22[1],,,,,,,,,
Men's 4 x 400m relay,M,2:54.20 [5] [6],"Jerome Young, Antonio Pettigrew,
Tyree Washington, Michael Johnson","Uniondale, New York",1998-07-22,,,,,,,,,
100m,F,13.6,Marie Mejzlíková,"Prague, Czechoslovakia","August 5, 1922[1]",,,,,,,,,
100m,F,12.8,Mary Lines,"Paris, France","August 20, 1922[1]",,,,,,,,,
100m,F,"12.7
(110y)",Emmi Haux,"Frankfurt, Germany","May 21, 1923",,,,,,,,,
100m,F,12.8,Marie Mejzlíková,"Prague, Czechoslovakia","May 13, 1923",,,,,,,,,
100m,F,12.4,Leni Schmidt,"Leipzig, Germany","August 30, 1925",,,,,,,,,
100m,F,"12.2
(110y)",Leni Junker,"Wiesbaden, Germany","September 13, 1925",,,,,,,,,
100m,F,12.4,Gundel Wittmann,"Braunschweig, Germany","August 22, 1926[1]",,,,,,,,,
100m,F,12.2,Leni Junker,"Hanover, Germany","August 29, 1926",,,,,,,,,
100m,F,"12.1
(110y)",Gertrud Gladitsch,"Stuttgart, Germany","July 3, 1927",,,,,,,,,
100m,F,12.2,Kinue Hitomi,"Osaka, Japan","May 20, 1928[1]",,,,,,,,,
100m,F,12,Betty Robinson,"Chicago, Illinois, United States","June 2, 1928",,,,,,,,,
100m,F,12,Myrtle Cook,"Halifax, Canada","July 2, 1928[1]",,,,,,,,,
100m,F,12,Leni Junker,"Magdeburg, Germany","August 1, 1931",,,,,,,,,
100m,F,12,Tollien Schuurman,"Amsterdam, Netherlands","August 31, 1930[1]",,,,,,,,,
100m,F,11.9,Tollien Schuurman,"Haarlem, Netherlands","June 5, 1932[1]",,,,,,,,,
100m,F,11.9,Stanisława Walasiewicz[2],"Los Angeles, United States","August 1, 1932[1]",,,,,,,,,
100m,F,11.9,Hilda Strike,"Los Angeles, United States","August 2, 1932",,,,,,,,,
100m,F,11.8,Stanisława Walasiewicz[2],"Poznań, Poland","September 17, 1933[1]",,,,,,,,,
100m,F,11.9,Käthe Krauß,"London, England","August 11, 1934",,,,,,,,,
100m,F,11.7,Stanisława Walasiewicz[2],"Warsaw, Poland","August 26, 1934[1]",,,,,,,,,
100m,F,11.9,Helen Stephens,"Fulton, United States","April 10, 1935",,,,,,,,,
100m,F,11.8,Helen Stephens,"Saint Louis, United States","June 1, 1935",,,,,,,,,
100m,F,11.6,Helen Stephens,"Kansas City, United States","June 8, 1935[1]",,,,,,,,,
100m,F,11.5,Helen Stephens,"Dresden, Germany","August 10, 1936",,,,,,,,,
100m,F,11.6,Stanisława Walasiewicz[2],"Berlin, Germany","August 1, 1937[1]",,,,,,,,,
100m,F,11.5,Lulu Mae Hymes,Tuskegee,"May 6, 1939",,,,,,,,,
100m,F,11.5,Rowena Harrison,Tuskegee,"May 6, 1939",,,,,,,,,
100m,F,11.5,Fanny Blankers-Koen,"Amsterdam, Netherlands","September 5, 1943",,,,,,,,,
100m,F,11.5,Fanny Blankers-Koen,"Amsterdam, Netherlands","June 13, 1948[1]",,,,,,,,,
100m,F,11.5,Marjorie Jackson,"Helsinki, Finland","July 22, 1952",,,,,,,,,
100m,F,11.4,Marjorie Jackson,"Gifu, Japan","October 4, 1952[1]",,,,,,,,,
100m,F,11.3,Shirley Strickland,"Warsaw, Poland","August 4, 1955",,,,,,,,,
100m,F,11.3,Vera Krepkina,"Kyiv, Soviet Union","September 13, 1958[1]",,,,,,,,,
100m,F,11.3,Wilma Rudolph,"Rome, Italy","September 2, 1960[1]",,,,,,,,,
100m,F,11.2,Wilma Rudolph,"Stuttgart, West Germany","July 19, 1961[1]",,,,,,,,,
100m,F,11.2,Wyomia Tyus,"Tokyo, Japan","October 15, 1964[1]",,,,,,,,,
100m,F,11.1,Ewa Kłobukowska,"Prague, Czechoslovakia","July 9, 1965",,,,,,,,,
100m,F,11.1,Irena Kirszenstein,"Prague, Czechoslovakia","July 9, 1965[1]",,,,,,,,,
100m,F,11.1,Wyomia Tyus,"Kyiv, Soviet Union","July 31, 1965[1]",,,,,,,,,
100m,F,11.1,Barbara Ferrell,"Santa Barbara, United States","July 2, 1967[1]",,,,,,,,,
100m,F,11.1,Wyomia Tyus,"Mexico City, Mexico","April 21, 1968",,,,,,,,,
100m,F,11.1,Lyudmila Samotyosova,"Leninakan, Soviet Union","August 15, 1968[1]",,,,,,,,,
100m,F,11.1,Margaret Bailes,"Aurora, Philippines","August 18, 1968",,,,,,,,,
100m,F,11.1,Barbara Ferrell,"Mexico City, Mexico","October 14, 1968",,,,,,,,,
100m,F,11.1,Irena Szewińska,"Mexico City, Mexico","October 14, 1968[1]",,,,,,,,,
100m,F,11,Wyomia Tyus,"Mexico City, Mexico","October 15, 1968[1]",,,,,,,,,
100m,F,11,Chi Cheng,"Vienna, Austria","July 18, 1970[1]",,,,,,,,,
100m,F,11,Renate Meißner,"Berlin, East Germany","August 2, 1970[1]",,,,,,,,,
100m,F,11,Renate Stecher (née Meißner),"Berlin, East Germany","July 31, 1971[1]",,,,,,,,,
100m,F,11,Renate Stecher (née Meißner),"Potsdam, East Germany","June 3, 1972[1]",,,,,,,,,
100m,F,11,Ellen Strophal,"Potsdam, East Germany","June 15, 1972[1]",,,,,,,,,
100m,F,11,Eva Glesková,"Budapest, Hungary","July 1, 1972[1]",,,,,,,,,
100m,F,10.9,Renate Stecher (née Meißner),"Ostrava, Czechoslovakia","June 7, 1973[1]",,,,,,,,,
100m,F,10.9,Renate Stecher (née Meißner),"Leipzig, East Germany","June 30, 1973",,,,,,,,,
100m,F,10.8,Renate Stecher (née Meißner),"Dresden, East Germany","July 20, 1973[1]",,,,,,,,,
100m,F,11.07,Wyomia Tyus,"Mexico City, Mexico","October 15, 1968[1]",,,,,,,,,
100m,F,11.07,Renate Stecher (née Meißner),"Munich, West Germany","September 2, 1972[1]",,,,,,,,,
100m,F,11.04,Inge Helten,"Fürth, West Germany","June 13, 1976[1]",,,,,,,,,
100m,F,11.01,Annegret Richter,"Montreal, Canada","July 25, 1976[1]",,,,,,,,,
100m,F,10.88,Marlies Oelsner,"Dresden, East Germany","July 1, 1977[1]",,,,,,,,,
100m,F,10.88,Marlies Göhr,"Karl-Marx-Stadt, East Germany","July 9, 1982[1]",,,,,,,,,
100m,F,10.81,Marlies Göhr,"Berlin, East Germany","June 8, 1983[1]",,,,,,,,,
100m,F,10.79,Evelyn Ashford,"US Air Force Academy, United States","July 3, 1983[1]",,,,,,,,,
100m,F,10.76,Evelyn Ashford,"Zürich, Switzerland","August 22, 1984[1]",,,,,,,,,
100m,F,10.49,Florence Griffith-Joyner,"Indianapolis, United States","July 16, 1988",,,,,,,,,
200m,F,27.8+,Alice Cast,"Paris, France","August 20, 1922[1]",,,,,,,,,
200m,F,26.8y,Mary Lines,"Waddon, United Kingdom","September 23, 1922[1]",,,,,,,,,
200m,F,26.2y,Eileen Edwards,"London, United Kingdom","August 20, 1924[1]",,,,,,,,,
200m,F,26,Eileen Edwards,"Paris, France","October 3, 1926[1]",,,,,,,,,
200m,F,25.4,Eileen Edwards,"Berlin, Germany","June 12, 1927[1]",,,,,,,,,
200m,F,24.6,Tollien Schuurman,"Brussels, Belgium","August 13, 1933[1]",,,,,,,,,
200m,F,23.6,Stanislawa Walasiewicz[2],"Warsaw, Poland","August 4, 1935[1]",,,,,,,,,
200m,F,23.6,Marjorie Jackson,"Helsinki, Finland","July 25, 1952[1]",,,,,,,,,
200m,F,23.4,Marjorie Jackson,"Helsinki, Finland","July 25, 1952[1]",,,,,,,,,
200m,F,23.2,Betty Cuthbert,"Sydney, Australia","September 16, 1956[1]",,,,,,,,,
200m,F,23.2y,Betty Cuthbert,"Hobart, Tasmania","March 7, 1960[1]",,,,,,,,,
200m,F,22.9,Wilma Rudolph,"Corpus Christi, USA","July 9, 1960[1]",,,,,,,,,
200m,F,22.9y,Margaret Burvill,"Perth, Australia","February 22, 1964[1]",,,,,,,,,
200m,F,22.7,Irena Szewińska,"Warsaw, Poland","August 8, 1965[1]",,,,,,,,,
200m,F,22.5A,Irena Szewińska,"Mexico City, Mexico","October 18, 1968[1]",,,,,,,,,
200m,F,22.4,Chi Cheng,"Munich, Germany","July 12, 1970[1]",,,,,,,,,
200m,F,22.4,Renate Stecher,"Munich, Germany","September 7, 1972[1]",,,,,,,,,
200m,F,22.1,Renate Stecher,"Dresden, Germany","July 21, 1973[1]",,,,,,,,,
200m,F,22.1,Irena Szewińska,"Potsdam, Germany","June 13, 1974[1]",,,,,,,,,
200m,F,22.06,Marita Koch,"Erfurt, East Germany","May 28, 1978[1]",,,,,,,,,
200m,F,22.02,Marita Koch,"Leipzig, East Germany","June 3, 1979[1]",,,,,,,,,
200m,F,21.71,Marita Koch,"Karl Marx Stadt, East Germany","June 10, 1979[1]",,,,,,,,,
200m,F,21.71,Marita Koch,"Potsdam, East Germany","July 21, 1984[1]",,,,,,,,,
200m,F,21.71,Heike Drechsler,"Jena, East Germany","June 29, 1986[1]",,,,,,,,,
200m,F,21.71,Heike Drechsler,"Stuttgart, West Germany","August 29, 1986[1]",,,,,,,,,
200m,F,21.56,Florence Griffith-Joyner,"Seoul, South Korea","September 29, 1988[1]",,,,,,,,,
200m,F,21.34,Florence Griffith-Joyner,"Seoul, South Korea","September 29, 1988",,,,,,,,,
400m,F,57.0y,Marlene Mathews,"Sydney, Australia",6 January 1957[1],,,,,,,,,
400m,F,57.0y,Marise Chamberlain,"Christchurch, New Zealand",16 February 1957[1],,,,,,,,,
400m,F,56.3y,Nancy Boyle,"Sydney, Australia",24 February 1957[1],,,,,,,,,
400m,F,55.2,Polina Lazareva,"Moscow, Soviet Union",10 May 1957[1],,,,,,,,,
400m,F,54,Mariya Itkina,"Minsk, Soviet Union",8 June 1957[1],,,,,,,,,
400m,F,53.6,Mariya Itkina,"Moscow, Soviet Union",6 July 1957[1],,,,,,,,,
400m,F,53.4+,Mariya Itkina,"Krasnodar, Soviet Union",12 September 1959[1],,,,,,,,,
400m,F,53.4,Mariya Itkina,"Belgrade, Yugoslavia",14 September 1962[1],,,,,,,,,
400m,F,51.9,Shin Geum-Dan,"Pyongyang, North Korea",23 October 1962[1],,,,,,,,,
400m,F,51.7,Nicole Duclos,"Athens, Greece",18 September 1969[1],,,,,,,,,
400m,F,51.7,Colette Besson,"Athens, Greece",18 September 1969[1],,,,,,,,,
400m,F,51,Marilyn Neufville,"Edinburgh, Scotland",23 July 1970[1],,,,,,,,,
400m,F,51,Monika Zehrt,"Paris, France",4 July 1972[1],,,,,,,,,
400m,F,49.9,Irena Szewińska,"Warsaw, Poland",22 June 1974,,,,,,,,,
400m,F,50.14,Riitta Salin,"Rome, Italy",4 September 1974[1],,,,,,,,,
400m,F,49.77,Christina Brehmer,"Dresden, East Germany",9 May 1976[1],,,,,,,,,
400m,F,49.75,Irena Szewińska,"Bydgoszcz, Poland",22 June 1976[1],,,,,,,,,
400m,F,49.29,Irena Szewińska,"Montreal, Canada",29 July 1976[1],,,,,,,,,
400m,F,49.19,Marita Koch,"Leipzig, East Germany",2 July 1978[1],,,,,,,,,
400m,F,49.03,Marita Koch,"Potsdam, East Germany",19 August 1978[1],,,,,,,,,
400m,F,48.94,Marita Koch,"Prague, Czechoslovakia",31 August 1978[1],,,,,,,,,
400m,F,48.89,Marita Koch,"Potsdam, East Germany",29 July 1979[1],,,,,,,,,
400m,F,48.6,Marita Koch,"Turin, Italy",4 August 1979[1],,,,,,,,,
400m,F,48.16,Marita Koch,"Athens, Greece",8 September 1982[1],,,,,,,,,
400m,F,47.99,Jarmila Kratochvílová,"Helsinki, Finland",10 August 1983[1],,,,,,,,,
400m,F,47.6,Marita Koch,"Canberra, Australia",6 October 1985[1],,,,,,,,,
800m,F,2:30.4+,Georgette Lenoir (FRA),"Paris, France[5]",1922-08-20,,,,,,,,,
800m,F,2:26.6y,Mary Lines (GBR),"London, United Kingdom[5]",1922-08-30,,,,,,,,,
800m,F,2:23.8,Lina Radke (GER),"Breslau, Germany[5]",1927-08-07,,,,,,,,,
800m,F,2:20.4,Inga Gentzel (SWE),"Stockholm, Sweden[5]",1928-06-16,,,,,,,,,
800m,F,2:19.6,Lina Radke (GER),"Brieg, Germany[5]",1928-07-01,,,,,,,,,
800m,F,2:16.8,Lina Radke (GER),"Amsterdam, Netherlands[5]",1928-08-02,,,,,,,,,
800m,F,2:16.4*,Zdeněk Koubek (CSK),"Prague, Czechoslovakia[6][7]",1934-06-14,,,,,,,,,
800m,F,2:12.4*,Zdeněk Koubek (CSK),"London, United Kingdom[6][7]",1934-08-01,,,,,,,,,
800m,F,2:15.9,Anna Larsson (SWE),"Stockholm, Sweden[5]",1944-08-28,,,,,,,,,
800m,F,2:14.8,Anna Larsson (SWE),"Hälsingborg, Sweden[5]",1945-08-19,,,,,,,,,
800m,F,2:13.8,Anna Larsson (SWE),"Stockholm, Sweden[5]",1945-08-30,,,,,,,,,
800m,F,2:13.0,Yevdokia Vasilyeva (URS),"Moscow, Soviet Union[5]",1950-07-17,,,,,,,,,
800m,F,2:12.2,Valentina Pomogayeva (URS),"Moscow, Soviet Union[5]",1951-07-26,,,,,,,,,
800m,F,2:12.0,Nina Otkalenko (URS),"Minsk, Soviet Union[5]",1951-08-26,,,,,,,,,
800m,F,2:08.5,Nina Otkalenko (URS),"Kiev, Soviet Union[5]",1952-06-15,,,,,,,,,
800m,F,2:07.3,Nina Otkalenko (URS),"Moscow, Soviet Union[5]",1953-08-27,,,,,,,,,
800m,F,2:06.6,Nina Otkalenko (URS),"Kiev, Soviet Union[5]",1954-09-16,,,,,,,,,
800m,F,2:05.0,Nina Otkalenko (URS),"Zagreb, Yugoslavia[5]",1955-09-24,,,,,,,,,
800m,F,2:04.3,Lyudmila Shevtsova (URS),"Moscow, Soviet Union[5]",1960-07-03,,,,,,,,,
800m,F,2:04.3,Lyudmila Shevtsova (URS),"Rome, Italy[5]",1960-09-07,,,,,,,,,
800m,F,2:01.2+,Dixie Willis (AUS),"Perth, Australia[5]",1962-03-03,,,,,,,,,
800m,F,2:01.1,Ann Packer (GBR),"Tokyo, Japan[5]",1964-10-20,,,,,,,,,
800m,F,2:01.0,Judy Pollock (AUS),"Helsinki, Finland[5]",1967-06-28,,,,,,,,,
800m,F,2:00.5,Vera Nikolic (YUG),"London, United Kingdom[5]",1968-07-20,,,,,,,,,
800m,F,1:58.5,Hildegard Falck (FRG),"Stuttgart, Germany[5]",1971-07-11,,,,,,,,,
800m,F,1:57.5,Svetla Zlateva (BUL),"Athens, Greece[5]",1973-08-24,,,,,,,,,
800m,F,1:56.0,Valentina Gerasimova (URS),"Kiev, Soviet Union[5]",1976-06-12,,,,,,,,,
800m,F,1:54.9,Tatyana Kazankina (URS),"Montreal, Canada[5]",1976-07-26,,,,,,,,,
800m,F,1:54.9,Nadezhda Olizarenko (URS),"Moscow, Soviet Union[5]",1980-06-12,,,,,,,,,
800m,F,1:53.5,Nadezhda Olizarenko (URS),"Moscow, Soviet Union[5]",1980-07-27,,,,,,,,,
800m,F,1:53.28,Jarmila Kratochvílová (TCH),"Munich, West Germany",1983-07-26,,,,,,,,,
1500m,F,4:17.3+,Anne Smith (GBR),"Chiswick, Great Britain",1967-06-03,,,,,,,,,
1500m,F,4:15.6,Maria Gommers (NED),"Sittard, Netherlands",1967-10-24,,,,,,,,,
1500m,F,4:12.4,Paola Pigni (ITA),"Milan, Italy",1969-07-02,,,,,,,,,
1500m,F,4:10.7,Jaroslava Jehličková (CZE),"Athens, Greece",1969-09-20,,,,,,,,,
1500m,F,4:09.6,Karin Burneleit (GDR),"Helsinki, Finland",1971-08-15,,,,,,,,,
1500m,F,4:06.9,Ludmila Bragina (URS),"Moscow, Soviet Union",1972-07-18,,,,,,,,,
1500m,F,4:06.5,Ludmila Bragina (URS),"Munich, Germany",1972-09-04,,,,,,,,,
1500m,F,4:05.1,Ludmila Bragina (URS),"Munich, Germany",1972-09-07,,,,,,,,,
1500m,F,4:01.4,Ludmila Bragina (URS),"Munich, Germany",1972-09-09,,,,,,,,,
1500m,F,3:56.0,Tatyana Kazankina (URS),"Podolsk, Soviet Union",1976-06-28,,,,,,,,,
1500m,F,3:55.0,Tatyana Kazankina (URS),"Moscow, Soviet Union",1980-07-06,,,,,,,,,
1500m,F,3:52.47,Tatyana Kazankina (URS),"Zürich, Switzerland",1980-08-03,,,,,,,,,
1500m,F,3:50.46,Qu Yunxia (CHN),"Beijing, China",1993-09-11,,,,,,,,,
1500m,F,3:50.07,Genzebe Dibaba (ETH),"Fontvieille, Monaco",2015-07-17,,,,,,,,,
1500m,F,3:49.11,Faith Kipyegon (KEN),"Florence, Italy",2023-06-02,,,,,,,,,
5000m,F,15:14.51,Paula Fudge (GBR),"Knarvik, Norway[1]",1981-09-13,,,,,,,,,
5000m,F,15:13.22,Anne Audain (NZL),"Auckland, New Zealand[1]",1982-03-17,,,,,,,,,
5000m,F,15:08.26,Mary Tabb (USA),"Eugene, Oregon, United States[1]",1982-06-05,,,,,,,,,
5000m,F,15:01.83 [a],Zola Budd (RSA),"Stellenbosch, South Africa[1]",1984-01-05,,,,,,,,,
5000m,F,14:58.89,Ingrid Kristiansen (NOR),"Oslo, Norway[1]",1984-06-28,,,,,,,,,
5000m,F,14:48.07,Zola Budd (GBR),"London, United Kingdom[1]",1985-08-26,,,,,,,,,
5000m,F,14:37.33,Ingrid Kristiansen (NOR),"Stockholm, Sweden[1]",1986-08-05,,,,,,,,,
5000m,F,14:36.45,Fernanda Ribeiro (POR),"Hechtel, Belgium[1]",1995-07-22,,,,,,,,,
5000m,F,14:31.27,Dong Yanmei (CHN),"Shanghai, China[1]",1997-10-21,,,,,,,,,
5000m,F,14:28.09,Jiang Bo (CHN),"Shanghai, China[1]",1997-10-23,,,,,,,,,
5000m,F,14:24.68,Elvan Abeylegesse (TUR),"Bergen, Norway[1]",2004-06-11,,,,,,,,,
5000m,F,14:24.53,Meseret Defar (ETH),"New York, United States[1]",2006-06-03,,,,,,,,,
5000m,F,14:16.63,Meseret Defar (ETH),"Oslo, Norway[1]",2007-06-15,,,,,,,,,
5000m,F,14:11.15,Tirunesh Dibaba (ETH),"Oslo, Norway[1]",2008-06-06,,,,,,,,,
5000m,F,14:06.62,Letesenbet Gidey (ETH),"Valencia, Spain[1]",2020-10-07,,,,,,,,,
5000m,F,14:05.20,Faith Kipyegon (KEN),"Paris, France [3]",2023-06-09,,,,,,,,,
5000m,F,14:00.21,Gudaf Tsegay (ETH),"Eugene, Oregon",2023-09-17,,,,,,,,,
,,,,,,,,,,,,,,
10000m,F,32:17.20,Yelena Sipatova (URS),"Moscow, Soviet Union[3]",1981-10-19,,,,,,,,,
10000m,F,38:06.4,Ann O'Brien (IRL),"Gormanstown, Ireland[6]",1967-03-26,,,,,,,,,
10000m,F,35:30.5,Paola Pigni (ITA),"Milan, Italy[6]",1970-05-09,,,,,,,,,
10000m,F,34:51.0,Kathy Gibbons (USA),"Phoenix, United States[6]",1971-06-12,,,,,,,,,
10000m,F,35:00.4,Julie Brown (USA),"Los Angeles, United States[6]",1975-03-29,,,,,,,,,
10000m,F,34:01.4,Christa Vahlensieck (FRG),"Wolfsburg, Germany[6]",1975-08-20,,,,,,,,,
10000m,F,33:34.17 Mx,Loa Olafsson (DEN),"Hvidovre, Denmark[6]",1977-03-19,,,,,,,,,
10000m,F,33:15.09,Peg Neppel (USA),"Los Angeles, United States[6]",1977-06-09,,,,,,,,,
10000m,F,32:43.2,Natalia Mărăşescu (ROM),"Băile Felix, Romania[6]",1978-01-22,,,,,,,,,
10000m,F,31:45.4 Mx,Loa Olafsson (DEN),"Copenhagen, Denmark[6]",1978-04-06,,,,,,,,,
10000m,F,32:30.80,Olga Krentser (URS),"Moscow, Soviet Union",1981-08-07,,,,,,,,,
10000m,F,31:35.3,Mary Decker-Slaney (USA),"Eugene, USA[3]",1982-07-16,,,,,,,,,
10000m,F,31:35.01,Lyudmila Baranova (URS),"Krasnodar, Soviet Union[3]",1983-05-29,,,,,,,,,
