event,gender,time_distance,athlete,location,date,,,,,,,,,
5000m,M,12:58.39,Saïd Aouita (MAR),"Rome, Italy[1]",1987-07-27,,,,,,,,,
5000m,M,12:56.96,Haile Gebrselassie (ETH),"Hengelo, Netherlands[1]",1994-06-04,,,,,,,,,
5000m,M,12:55.30,Moses Kiptanui (KEN),"Rome, Italy[1]",1995-06-08,,,,,,,,,
5000m,M,12:44.39,Haile Gebrselassie (ETH),"Zürich, Switzerland[1]",1995-08-16,,,,,,,,,
5000m,M,12:41.86,Haile Gebrselassie (ETH),"Zürich, Switzerland[1]",1997-08-13,,,,,,,,,
5000m,M,12:39.74,Daniel Komen (KEN),"Brussels, Belgium[1]",1997-08-22,,,,,,,,,
5000m,M,12:39.36,Haile Gebrselassie (ETH),"Helsinki, Finland[1]",1998-06-13,,,,,,,,,
5000m,M,12:37.35,Kenenisa Bekele (ETH),"Hengelo, Netherlands[1]",2004-05-31,,,,,,,,,
5000m,M,12:35.36,Joshua Cheptegei (UGA),Monaco[2],2020-08-14,,,,,,,,,
10000m,M,30:58.8,Jean Bouin (FRA),"Paris, France[2]","November 16, 1911",,,,,,,,,
10000m,M,30:40.2,Paavo Nurmi (FIN),"Stockholm, Sweden[2]","June 22, 1921",,,,,,,,,
10000m,M,30:35.4,Ville Ritola (FIN),"Helsinki, Finland[2]","May 25, 1924",,,,,,,,,
10000m,M,30:23.2,Ville Ritola (FIN),"Paris, France[2]","July 6, 1924",,,,,,,,,
10000m,M,30:06.2,Paavo Nurmi (FIN),"Kuopio, Finland[2]","August 31, 1924",,,,,,,,,
10000m,M,30:05.6,Ilmari Salminen (FIN),"Kouvola, Finland[2]","July 18, 1937",,,,,,,,,
10000m,M,30:02.0,Taisto Mäki (FIN),"Tampere, Finland[2]","September 29, 1938",,,,,,,,,
10000m,M,29:52.6,Taisto Mäki (FIN),"Helsinki, Finland[2]","September 17, 1939",,,,,,,,,
10000m,M,29:35.4,Viljo Heino (FIN),"Helsinki, Finland[2]","August 25, 1944",,,,,,,,,
10000m,M,29:28.2,Emil Zátopek (TCH),"Ostrava, Czech Republic[2]","June 11, 1949",,,,,,,,,
10000m,M,29:27.2,Viljo Heino (FIN),"Kouvola, Finland[2]","September 1, 1949",,,,,,,,,
10000m,M,29:21.2,Emil Zátopek (TCH),"Ostrava, Czech Republic[2]","October 22, 1949",,,,,,,,,
10000m,M,29:02.6,Emil Zátopek (TCH),"Turku, Finland[2]","August 4, 1950",,,,,,,,,
10000m,M,29:01.6,Emil Zátopek (TCH),"Stara Boleslav, Czech Republic[2]","November 1, 1953",,,,,,,,,
10000m,M,28:54.2,Emil Zátopek (TCH),"Brussels, Belgium[2]","June 1, 1954",,,,,,,,,
10000m,M,28:42.8,Sandor Iharos (HUN),"Budapest, Hungary[2]","July 15, 1956",,,,,,,,,
10000m,M,28:30.4,Vladimir Kuts (URS),"Moscow, Soviet Union[2]","September 11, 1956",,,,,,,,,
10000m,M,28:18.8,Pyotr Bolotnikov (URS),"Kiev, Soviet Union[2]","October 15, 1960",,,,,,,,,
10000m,M,28:18.2,Pyotr Bolotnikov (URS),"Moscow, Soviet Union[2]","August 11, 1962",,,,,,,,,
10000m,M,28:15.6,Ron Clarke (AUS),"Melbourne, Australia[2]","December 18, 1963",,,,,,,,,
10000m,M,27:39.4,Ron Clarke (AUS),"Oslo, Norway[2]","July 14, 1965",,,,,,,,,
10000m,M,27:38.4,Lasse Virén (FIN),"Munich, Germany[2]","September 3, 1972",,,,,,,,,
10000m,M,27:30.8,David Bedford (GBR),"London, United Kingdom[2]","July 13, 1973",,,,,,,,,
10000m,M,27:30.5,Samson Kimobwa (KEN),"Helsinki, Finland[2]","June 30, 1977",,,,,,,,,
10000m,M,27:22.4,Henry Rono (KEN),"Vienna, Austria[2]","June 11, 1978",,,,,,,,,
10000m,M,27:13.81,Fernando Mamede (POR),"Stockholm, Sweden[2]","July 2, 1984",,,,,,,,,
10000m,M,27:08.23,Arturo Barrios (MEX),"Berlin, Germany[2]","August 18, 1989",,,,,,,,,
10000m,M,27:07.91,Richard Chelimo (KEN),"Stockholm, Sweden[2]","July 5, 1993",,,,,,,,,
10000m,M,26:58.38,Yobes Ondieki (KEN),"Oslo, Norway[2]","July 10, 1993",,,,,,,,,
10000m,M,26:52.23,William Sigei (KEN),"Oslo, Norway[2]","July 22, 1994",,,,,,,,,
10000m,M,26:43.53,Haile Gebrselassie (ETH),"Hengelo, Netherlands[2]","June 5, 1995",,,,,,,,,
10000m,M,26:38.08,Salah Hissou (MAR),"Brussels, Belgium[2]","August 23, 1996",,,,,,,,,
10000m,M,26:31.32,Haile Gebrselassie (ETH),"Oslo, Norway[2]","July 4, 1997",,,,,,,,,
10000m,M,26:27.85,Paul Tergat (KEN),"Brussels, Belgium[2]","August 22, 1997",,,,,,,,,
10000m,M,26:22.75,Haile Gebrselassie (ETH),"Hengelo, Netherlands[2]","June 1, 1998",,,,,,,,,
10000m,M,26:20.31,Kenenisa Bekele (ETH),"Ostrava, Czech Republic[2]","June 8, 2004",,,,,,,,,
10000m,M,26:17.53,Kenenisa Bekele (ETH),"Brussels, Belgium[2]","August 26, 2005",,,,,,,,,
10000m,M,26:11.00,Joshua Cheptegei (UGA),"Valencia, Spain","October 7, 2020",,,,,,,,,
marathon,M,2:55:18,Johnny Hayes,"London Olympics, England","July 24, 1908",,,,,,,,,
marathon,M,2:52:45,Robert Fowler,"Yonkers,[nb 5] United States","January 1, 1909",,,,,,,,,
marathon,M,2:46:53,James Clark,"New York City, United States","February 12, 1909",,,,,,,,,
marathon,M,2:46:05,Albert Raines,"New York City, United States","May 8, 1909",,,,,,,,,
marathon,M,2:42:31,Henry Barrett,"Polytechnic Marathon, London, England","May 8, 1909[nb 6]",,,,,,,,,
marathon,M,2:40:34,Thure Johansson,"Stockholm, Sweden","August 31, 1909",,,,,,,,,
marathon,M,2:38:16,Harry Green,Polytechnic Marathon,"May 12, 1913",,,,,,,,,
marathon,M,2:36:07,Alexis Ahlgren,Polytechnic Marathon,"May 31, 1913",,,,,,,,,
marathon,M,2:38:01,Umberto Blasi,"Legnano, Italy","November 29, 1914",,,,,,,,,
marathon,M,2:32:36,Hannes Kolehmainen,"Antwerp Olympics, Belgium","August 22, 1920",,,,,,,,,
marathon,M,2:29:02,Albert Michelsen,"Port Chester Marathon, United States","October 12, 1925",,,,,,,,,
marathon,M,2:30:58,Harry Payne,"AAA Championships, London, England","July 5, 1929",,,,,,,,,
marathon,M,2:26:14,Sohn Kee-chung,"Tokyo, Japan","March 21, 1935",,,,,,,,,
marathon,M,2:27:49,Fusashige Suzuki,"Tokyo, Japan","March 31, 1935",,,,,,,,,
marathon,M,2:26:44,Yasuo Ikenaka,"Tokyo, Japan","April 3, 1935",,,,,,,,,
marathon,M,2:26:42,Sohn Kee-chung,"Meiji Shrine Games, Tokyo, Japan","November 3, 1935",,,,,,,,,
marathon,M,2:25:39,Suh Yun-bok,Boston Marathon,"April 19, 1947",,,,,,,,,
marathon,M,2:20:42,Jim Peters,Polytechnic Marathon,"June 14, 1952",,,,,,,,,
marathon,M,2:18:40,Jim Peters,Polytechnic Marathon,"June 13, 1953",,,,,,,,,
marathon,M,2:18:35,Jim Peters,Turku Marathon,"October 4, 1953",,,,,,,,,
marathon,M,2:17:39,Jim Peters,Polytechnic Marathon,"June 26, 1954",,,,,,,,,
marathon,M,2:18:05,Paavo Kotila,"Finnish Athletics Championships, Pieksämäki, Finland","August 12, 1956",,,,,,,,,
marathon,M,2:15:17,Sergei Popov,"European Athletics Championships, Stockholm, Sweden","August 24, 1958",,,,,,,,,
marathon,M,2:15:16,Abebe Bikila,"Rome Olympics, Italy","September 10, 1960",,,,,,,,,
marathon,M,2:15:16,Toru Terasawa,Beppu-Ōita Marathon,"February 17, 1963",,,,,,,,,
marathon,M,2:14:28,Leonard Edelen,Polytechnic Marathon,"June 15, 1963",,,,,,,,,
marathon,M,2:14:43,Brian Kilby,"Port Talbot, Wales","July 6, 1963",,,,,,,,,
marathon,M,2:13:55,Basil Heatley,Polytechnic Marathon,"June 13, 1964",,,,,,,,,
marathon,M,2:12:11,Abebe Bikila,"Tokyo Olympics, Japan","October 21, 1964",,,,,,,,,
marathon,M,2:12:00,Morio Shigematsu,Polytechnic Marathon,"June 12, 1965",,,,,,,,,
marathon,M,2:09:36,Derek Clayton,Fukuoka Marathon,"December 3, 1967",,,,,,,,,
marathon,M,2:08:34,Derek Clayton,"Antwerp, Belgium","May 30, 1969",,,,,,,,,
marathon,M,2:09:29,Ron Hill,"Edinburgh Commonwealth Games, Scotland","July 23, 1970",,,,,,,,,
marathon,M,2:09:12,Ian Thompson,"Christchurch Commonwealth Games, New Zealand","January 31, 1974",,,,,,,,,
marathon,M,2:09:06,Shigeru So,Beppu-Ōita Marathon,"February 5, 1978",,,,,,,,,
marathon,M,2:09:01,Gerard Nijboer,Amsterdam Marathon,"April 26, 1980",,,,,,,,,
marathon,M,2:08:18,Robert De Castella,Fukuoka Marathon,"December 6, 1981",,,,,,,,,
marathon,M,2:08:05,Steve Jones,Chicago Marathon,"October 21, 1984",,,,,,,,,
marathon,M,2:07:12,Carlos Lopes,Rotterdam Marathon,"April 20, 1985",,,,,,,,,
marathon,M,2:06:50,Belayneh Dinsamo,Rotterdam Marathon,"April 17, 1988",,,,,,,,,
marathon,M,2:06:05,Ronaldo da Costa,Berlin Marathon,"September 20, 1998",,,,,,,,,
marathon,M,2:05:42,Khalid Khannouchi,Chicago Marathon,"October 24, 1999",,,,,,,,,
